#,What age range do you have?,What is your gender?,Other,Where are you from?,Other.1,When did you join Remitano?,Buy Coins,Sell Coins,Withdraw coins,Deposit Coins,Swap,Invest,Read articles on Forum,Participate in minigame on Forum,Not using any of the above features,Used all,Have you know about Altcoins?,Name at least 1 Altcoin you have known 🧐,Altcoins,BTC,ETH,USDT,LTC,XRP,BCH,"If you could only choose 1 coin, which one would you invest? (choose only 1)","Because there are more risks (scam, fraud) than Bitcoin or top coin.",Because I got difficulty to own and store Altcoins.,Because of low liquidity.,Because I have a litte money.,Because I am lack of information about potential Altcoins.,Because the crypto exchange platforms I'm using don't have the Altcoins which I want to buy.,Because the budget of crypto market is very small in my portfolio.,Other.2,What will help you change your mind and be willing to invest Altcoin?,Why did you choose to invest Altcoins?,How many percentage of total budget are you going to invest in Altcoin? (type the number 0 - 100),What is your strategy in the altcoin investment ? (choose only 1),Other.3,Where do you store your altcoin? (choose only 1),Other.4,I got difficulties in owning and storing Altcoins.,The exchange is low liquidity.,I have low invest budget,I am lack of information about potential Altcoins.,The crypto exchange platforms I'm using don't have the Altcoins which I want to buy.,The budget of crypto market is very small in my portfolio.,"There are more risks (scam, fraud) than Bitcoin or top coin.",Other.5,Which is the most difficult thing? (choose 1),Other.6,"Name the most potential Altcoins you can't miss, you should invest now.",How did you buy Altcoins?,What is the most difficult thing about buying Altcoins?,"If you have Altcoin, how did you sell Altcoins?",What is the most difficult thing about selling Altcoin?,"In your opinion, what should Remitano do to help you trade Altcoins easily?","I can buy/sell all Altcoins at ""P2P exchange"".","I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.","I can ""Swap"" from my fiat-currency to all Altcoins and vice versa.","I can ""Invest"" in all Altcoins.","I can store and deposit/withdraw all altcoins in ""Remitano wallet"".",I can add my new Altcoin (which I create) on Remitano system.,"I can buy/sell all Altcoins at ""P2P exchange""..1","I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa..1","I can ""Swap"" from my fiat-currency to all Altcoins and vice versa..1","I can ""Invest"" in all Altcoins..1","I can store and deposit/withdraw all altcoins in ""Remitano wallet""..1",I can add my new Altcoin (which I create) on Remitano system..1,"If there is only 1 vote, which one do you prefer?",Coinbas và Coinbase Pro,Bittrex,Changelly,Binance,Kraken,BitMEX,KuCoin,Huobi Pro,Bitpanda,Remitano,Other.7,Why did you choose this crypto exchange?,Start Date (UTC),Submit Date (UTC),Network ID,country,crypto exchange
5norsmp6ut1if7jrb3kfjq5norsmzq2v,> 40,Male,,India,,2020,0,0,0,0,0,0,0,0,1,0,Yes,"Binance Coin, Tezos, Chainlink, Dash, Zcoin, XRP, Bitcoin Cash",0,0,1,0,0,0,0,ETH,0,0,0,0,0,0,0,1,"If I'll come to know fully about it like market sentiment, volume, its present and future projects",,,,,,,0,0,0,0,0,0,0,0,,,,,,,,"everything like buying, selling, holding and make me aware about current and future know how about market.",1,1,0,1,1,0,8,7,7,9,9,2,"I can store and deposit/withdraw all altcoins in ""Remitano wallet"".",0,0,0,0,0,0,0,0,0,0,0,,21/4/20 20:16,21/4/20 20:29,ea6419e050,India,0
ego2of0oh7tpuegs34jwv64te9n8cryd,18 - 25,Male,,Vietnam,,2017,1,0,1,1,1,1,1,0,0,0,Yes,Ada,1,1,0,0,0,0,0,One of Altcoins I like,0,0,0,0,0,0,0,0,,higher profits,50,Short-term investment 1 -3 months,,On the exchange platform,,0,0,0,0,0,1,0,0,The exchange is low liquidity.,,ADA,Buy on Remitano or Binance,Nothing,Swap to BTC or USDT,Nothing,I think swap feature is enough,0,0,0,1,0,0,10,10,10,10,10,7,"I can ""Invest"" in all Altcoins.",0,0,0,1,0,0,0,0,0,1,0,Easy to use and good security,21/4/20 14:39,21/4/20 14:49,fd860fec46,Vietnam,2
u85a56qh05ezxrzbm2au85a56q143vrs,31 - 40,Female,,Nigeria,,2016,0,1,0,0,0,0,0,0,0,0,Yes,Kucoin,0,0,1,0,0,0,0,LTC,0,0,1,0,0,0,0,0,Price and number of supply,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Make room for loan offer and help build a more stronger trading compensation and accurate  copy trades in their platform,0,0,0,1,0,0,10,10,10,10,10,10,"I can buy/sell all Altcoins at ""P2P exchange"".",0,0,0,0,0,0,0,0,0,0,0,,20/4/20 17:28,20/4/20 17:35,ca2fe2b675,Nigeria,0
cyiq3x4rq00ou47mj1cyiq394azaajav,31 - 40,Male,,Nigeria,,2018,0,1,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,17/4/20 4:58,17/4/20 4:59,b4f2a1ab22,Nigeria,0
725roe736l0t3vk1vn725ro13t5tb6lq,18 - 25,Male,,Vietnam,,2020,0,0,0,0,0,0,0,0,0,1,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,16/4/20 0:03,16/4/20 0:04,2976f2f142,Vietnam,0
mk0l2crr6n0qdj1zk21xmk0l2c7lyzwu,26 - 30,Male,,Vietnam,,2017,0,0,0,0,0,1,0,0,0,1,Yes,TUSD,0,0,0,1,0,0,0,One of Altcoins I like,0,0,0,0,0,0,0,1,Development,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,VISA,1,1,1,1,1,1,10,10,10,10,10,10,"I can ""Invest"" in all Altcoins.",0,0,0,0,0,0,0,0,0,0,0,,15/4/20 12:27,15/4/20 12:32,929008da73,Vietnam,0
uxu3hh94hbukkkuxu3cy7r1hxsnsutoc,> 40,Male,,India,,2018,0,0,0,0,0,1,0,0,0,0,Yes,XRP,0,1,1,0,1,1,1,BTC,0,0,0,0,1,0,0,0,Details about Altcoin & wallet to store sequrely,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Direct bank transfer,1,1,1,1,1,1,10,10,10,10,10,10,"I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.",0,0,0,0,0,0,0,0,0,0,0,,15/4/20 11:42,15/4/20 11:54,8dad8ee748,India,0
9xe9r6cgyi5b0fs9o9xe9r8l1q3aez1k,18 - 25,Male,,Vietnam,,2020,1,1,1,1,1,1,1,1,1,1,Yes,Yes,0,1,0,0,0,0,0,BTC,0,1,0,1,0,1,0,0,Yes,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Yes,1,1,0,0,0,0,10,6,9,9,9,0,"I can buy/sell all Altcoins at ""P2P exchange"".",0,0,0,0,0,0,0,0,0,0,0,,15/4/20 10:51,15/4/20 10:54,49435497a9,Vietnam,0
qownb99f76dpsxu2o6qownb92rb0w6g6,26 - 30,Male,,Nigeria,,2020,0,1,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,15/4/20 9:42,15/4/20 9:44,348e2cb46c,Nigeria,0
l0mkucj8c6lybug6fl0mkucre3yofuwq,18 - 25,Male,,Nigeria,,2020,1,1,1,1,0,0,0,0,0,0,Yes,Qurdry,0,1,0,0,0,0,0,BTC,1,0,0,0,0,0,0,0,On less they teach me how to activate my account,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Good trade abd good services,0,0,0,0,0,1,5,10,10,10,10,10,"I can store and deposit/withdraw all altcoins in ""Remitano wallet"".",0,0,0,0,0,0,0,0,0,0,0,,15/4/20 9:27,15/4/20 9:35,13add2d260,Nigeria,0
